CNTYVTD,VTDKEY,Voter_Registration,Turnout,Spanish_Surname_Voter_Registration,Spanish_Surname_Turnout
293038,645,1256,932,512,0.385371179039301
293039,646,4455,3293,1031,0.231311274509804
293040,647,2170,1639,655,0.289038579301898
293041,648,547,448,152,0.289183222958057
293042,649,2444,1890,511,0.213494992092778
293043,650,2968,2377,581,0.193710691823899
293044,651,1565,1144,407,0.249551166965889
293045,652,1607,1277,278,0.178713264495631
293046,653,1528,1215,292,0.186218211648893
293047,654,1811,1506,267,0.146029609690444
293048,655,1663,1298,192,0.117193523515806
293049,656,2183,1786,310,0.130090497737557
293050,657,1196,906,229,0.162192393736018
293051,658,372,309,43,0.110032362459547
293052,659,1554,1129,393,0.254252461951656
293053,660,2034,1493,285,0.129913391072618
293054,661,154,88,65,0.393258426966292
293055,662,3289,2661,567,0.175166297117517
293056,663,2368,1431,902,0.378551136363636
293057,664,602,446,144,0.215555555555556
293058,665,3767,2498,1334,0.369503832190399
293059,666,2119,1455,614,0.284827586206897
293060,667,2003,1462,635,0.305459571527298
293061,668,2122,1369,809,0.363568773234201
